,Entry Price,Exit Price,Profit/Loss,Entry Date,Exit Date,Exit Reason
0,83.9046989986673,92.30235288564056,1000.8562079588228,2018-05-23,2018-05-24,Take Profit Hit
1,93.4896660048166,103.53047066964538,1181.4936671641644,2018-07-25,2018-07-26,Take Profit Hit
2,100.34383466323676,92.06818146116932,-1004.7144709101303,2018-12-21,2018-12-24,Stop Loss Hit
3,98.85452568725658,109.17787583311416,1167.2773024624275,2019-03-14,2019-03-15,Take Profit Hit
4,117.47931657823808,130.58825936458547,1377.5084762813167,2019-06-19,2019-06-20,Take Profit Hit
5,133.3244311990163,126.64539903525628,-687.4395909390169,2019-08-02,2019-08-05,Stop Loss Hit
6,130.22235563200206,143.825156557021,1361.611520517812,2019-11-18,2019-11-19,Take Profit Hit
7,160.90785729974584,146.1761649081407,-1318.0598187066134,2020-02-27,2020-02-28,Stop Loss Hit
8,199.2689578849027,219.98695094513303,1359.7750743296529,2020-08-27,2020-08-28,Take Profit Hit
9,207.3766299679097,196.90652737515,-728.9662769807401,2020-09-11,2020-09-14,Stop Loss Hit
10,206.17150366073267,230.05509359881663,1588.135600763746,2021-01-26,2021-01-27,Take Profit Hit
11,230.0229993645952,253.5078028472354,1561.8362440613164,2021-04-23,2021-04-26,Take Profit Hit
12,243.1508636999251,269.9897885778772,1860.9263949833512,2021-07-02,2021-07-06,Take Profit Hit
13,288.3114941431728,322.3936008964146,2212.9718806499404,2021-10-29,2021-11-01,Take Profit Hit
14,323.5974535910769,305.23372529327946,-1187.9321582684424,2022-01-05,2022-01-06,Stop Loss Hit
15,298.09007056566804,282.5111266576431,-1031.9384668396451,2022-04-11,2022-04-12,Stop Loss Hit
16,260.29941727092705,244.93873779025188,-1104.3038249442543,2022-07-12,2022-07-13,Stop Loss Hit
17,255.52185149730448,282.1216089969612,1833.096197118648,2022-08-09,2022-08-10,Take Profit Hit
18,276.7455691949814,260.82250375792574,-1118.6389439258019,2022-08-26,2022-08-29,Stop Loss Hit
19,244.53687317288268,232.29773494288432,-917.0960004219341,2022-12-22,2022-12-23,Stop Loss Hit
20,250.99823082473256,276.66225903833964,1779.7667893270336,2023-03-24,2023-03-27,Take Profit Hit
21,275.685801623626,303.54923759954664,1939.1368701102801,2023-05-01,2023-05-02,Take Profit Hit
22,330.7435253999172,311.52341051007966,-1227.630212811946,2023-08-17,2023-08-18,Stop Loss Hit
23,333.7419148820228,316.2484269359893,-1042.9606765854442,2023-09-20,2023-09-21,Stop Loss Hit
24,337.3276940706391,372.8816723956765,1987.2664648957398,2023-11-20,2023-11-21,Take Profit Hit
25,370.5391560461205,409.2000546460513,2174.586935199586,2024-01-29,2024-01-30,Take Profit Hit
26,411.6472306650605,390.4165209410911,-1187.0795619959426,2024-04-30,2024-05-01,Stop Loss Hit
27,422.6905221136095,465.2285691118471,2196.840564850463,2024-07-08,2024-07-09,Take Profit Hit
28,440.9111509665439,416.6136712799373,-1324.0290502997086,2024-07-25,2024-07-26,Stop Loss Hit
